antecedents,consequents,support,confidence,lift
"Product 60, Product 81","Product 100, Product 4",0.01,1.0,100.0
"Product 20, Product 65","Product 70, Product 98",0.01,1.0,100.0
"Product 70, Product 98","Product 20, Product 65",0.01,1.0,100.0
"Product 20, Product 70","Product 65, Product 98",0.01,1.0,100.0
"Product 20, Product 98","Product 65, Product 70",0.01,1.0,100.0
"Product 11, Product 39","Product 23, Product 79",0.01,1.0,100.0
"Product 11, Product 79","Product 23, Product 39",0.01,1.0,100.0
"Product 65, Product 70","Product 20, Product 98",0.01,1.0,100.0
"Product 65, Product 98","Product 20, Product 70",0.01,1.0,100.0
"Product 74, Product 95","Product 24, Product 78",0.01,1.0,100.0
"Product 81, Product 88","Product 27, Product 7, Product 70",0.01,1.0,100.0
"Product 70, Product 81","Product 27, Product 7, Product 88",0.01,1.0,100.0
"Product 7, Product 81","Product 27, Product 70, Product 88",0.01,1.0,100.0
"Product 77, Product 86","Product 55, Product 64, Product 96",0.01,1.0,100.0
"Product 55, Product 77","Product 64, Product 86, Product 96",0.01,1.0,100.0
"Product 64, Product 86","Product 55, Product 77, Product 96",0.01,1.0,100.0
"Product 55, Product 64","Product 77, Product 86, Product 96",0.01,1.0,100.0
"Product 86, Product 96","Product 55, Product 64, Product 77",0.01,1.0,100.0
"Product 55, Product 96","Product 64, Product 77, Product 86",0.01,1.0,100.0
"Product 55, Product 86","Product 64, Product 77, Product 96",0.01,1.0,100.0
"Product 27, Product 70, Product 81","Product 7, Product 88",0.01,1.0,100.0
"Product 27, Product 7, Product 81","Product 70, Product 88",0.01,1.0,100.0
"Product 27, Product 70, Product 88","Product 7, Product 81",0.01,1.0,100.0
"Product 27, Product 7, Product 88","Product 70, Product 81",0.01,1.0,100.0
"Product 27, Product 7, Product 70","Product 81, Product 88",0.01,1.0,100.0
"Product 64, Product 86, Product 96","Product 55, Product 77",0.01,1.0,100.0
"Product 55, Product 64, Product 96","Product 77, Product 86",0.01,1.0,100.0
"Product 12, Product 14, Product 61","Product 29, Product 64",0.01,1.0,100.0
"Product 14, Product 29, Product 61","Product 12, Product 64",0.01,1.0,100.0
"Product 12, Product 14, Product 64","Product 29, Product 61",0.01,1.0,100.0
"Product 12, Product 14, Product 29","Product 61, Product 64",0.01,1.0,100.0
"Product 12, Product 61, Product 64","Product 14, Product 29",0.01,1.0,100.0
"Product 29, Product 61, Product 64","Product 12, Product 14",0.01,1.0,100.0
"Product 12, Product 29, Product 61","Product 14, Product 64",0.01,1.0,100.0
"Product 27, Product 81","Product 7, Product 70, Product 88",0.01,1.0,100.0
"Product 27, Product 88","Product 7, Product 70, Product 81",0.01,1.0,100.0
"Product 27, Product 70","Product 7, Product 81, Product 88",0.01,1.0,100.0
"Product 27, Product 7","Product 70, Product 81, Product 88",0.01,1.0,100.0
"Product 77, Product 96","Product 55, Product 64, Product 86",0.01,1.0,100.0
"Product 14, Product 61","Product 12, Product 29, Product 64",0.01,1.0,100.0
"Product 14, Product 64","Product 12, Product 29, Product 61",0.01,1.0,100.0
"Product 12, Product 14","Product 29, Product 61, Product 64",0.01,1.0,100.0
"Product 14, Product 29","Product 12, Product 61, Product 64",0.01,1.0,100.0
"Product 61, Product 64","Product 12, Product 14, Product 29",0.01,1.0,100.0
"Product 64, Product 77, Product 96","Product 55, Product 86",0.01,1.0,100.0
"Product 64, Product 77, Product 86","Product 55, Product 96",0.01,1.0,100.0
"Product 55, Product 64, Product 77","Product 86, Product 96",0.01,1.0,100.0
"Product 77, Product 86, Product 96","Product 55, Product 64",0.01,1.0,100.0
"Product 55, Product 77, Product 96","Product 64, Product 86",0.01,1.0,100.0
"Product 16, Product 46","Product 52, Product 62",0.01,1.0,100.0
"Product 46, Product 62","Product 16, Product 52",0.01,1.0,100.0
Product 50,"Product 100, Product 38, Product 97",0.01,1.0,100.0
"Product 100, Product 97","Product 38, Product 50",0.01,1.0,100.0
"Product 100, Product 50","Product 38, Product 97",0.01,1.0,100.0
"Product 100, Product 38","Product 50, Product 97",0.01,1.0,100.0
"Product 50, Product 97","Product 100, Product 38",0.01,1.0,100.0
"Product 38, Product 97","Product 100, Product 50",0.01,1.0,100.0
"Product 17, Product 66","Product 14, Product 49",0.01,1.0,100.0
"Product 17, Product 49","Product 14, Product 66",0.01,1.0,100.0
"Product 49, Product 66","Product 14, Product 17",0.01,1.0,100.0
"Product 64, Product 7","Product 35, Product 37, Product 96",0.01,1.0,100.0
"Product 7, Product 96","Product 35, Product 37, Product 64",0.01,1.0,100.0
"Product 35, Product 37, Product 64","Product 7, Product 96",0.01,1.0,100.0
"Product 35, Product 37, Product 96","Product 64, Product 7",0.01,1.0,100.0
"Product 37, Product 64, Product 7","Product 35, Product 96",0.01,1.0,100.0
"Product 35, Product 64, Product 7","Product 37, Product 96",0.01,1.0,100.0
"Product 35, Product 64, Product 96","Product 37, Product 7",0.01,1.0,100.0
"Product 12, Product 29, Product 64","Product 14, Product 61",0.01,1.0,100.0
"Product 64, Product 77","Product 55, Product 86, Product 96",0.01,1.0,100.0
"Product 43, Product 51, Product 78","Product 71, Product 89",0.01,1.0,100.0
"Product 51, Product 71, Product 78","Product 43, Product 89",0.01,1.0,100.0
"Product 43, Product 71, Product 78","Product 51, Product 89",0.01,1.0,100.0
Product 37,"Product 35, Product 64, Product 7, Product 96",0.01,1.0,100.0
"Product 35, Product 37","Product 64, Product 7, Product 96",0.01,1.0,100.0
"Product 37, Product 64","Product 35, Product 7, Product 96",0.01,1.0,100.0
"Product 37, Product 7","Product 35, Product 64, Product 96",0.01,1.0,100.0
"Product 29, Product 61","Product 12, Product 14, Product 64",0.01,1.0,100.0
"Product 12, Product 64","Product 14, Product 29, Product 61",0.01,1.0,100.0
"Product 29, Product 64","Product 12, Product 14, Product 61",0.01,1.0,100.0
"Product 12, Product 29","Product 14, Product 61, Product 64",0.01,1.0,100.0
"Product 14, Product 61, Product 64","Product 12, Product 29",0.01,1.0,100.0
"Product 23, Product 39","Product 11, Product 79",0.01,1.0,100.0
"Product 23, Product 79","Product 11, Product 39",0.01,1.0,100.0
Product 26,"Product 60, Product 73",0.01,1.0,100.0
"Product 60, Product 73",Product 26,0.01,1.0,100.0
Product 26,"Product 42, Product 73",0.01,1.0,100.0
"Product 42, Product 73",Product 26,0.01,1.0,100.0
"Product 13, Product 4","Product 100, Product 60",0.01,1.0,100.0
"Product 13, Product 60","Product 100, Product 4",0.01,1.0,100.0
"Product 4, Product 60","Product 100, Product 13",0.01,1.0,100.0
"Product 47, Product 8","Product 2, Product 76",0.01,1.0,100.0
"Product 2, Product 8","Product 47, Product 76",0.01,1.0,100.0
"Product 47, Product 76","Product 2, Product 8",0.01,1.0,100.0
"Product 2, Product 76","Product 47, Product 8",0.01,1.0,100.0
"Product 2, Product 47","Product 76, Product 8",0.01,1.0,100.0
"Product 2, Product 76, Product 8",Product 47,0.01,1.0,100.0
"Product 35, Product 7, Product 96","Product 37, Product 64",0.01,1.0,100.0
"Product 64, Product 7, Product 96","Product 35, Product 37",0.01,1.0,100.0
"Product 35, Product 64, Product 7, Product 96",Product 37,0.01,1.0,100.0
"Product 78, Product 95","Product 24, Product 74",0.01,1.0,100.0
"Product 74, Product 78","Product 24, Product 95",0.01,1.0,100.0
"Product 24, Product 78, Product 95",Product 74,0.01,1.0,100.0
"Product 14, Product 17","Product 49, Product 66",0.01,1.0,100.0
"Product 14, Product 66","Product 17, Product 49",0.01,1.0,100.0
"Product 14, Product 49","Product 17, Product 66",0.01,1.0,100.0
"Product 49, Product 56","Product 3, Product 75",0.01,1.0,100.0
"Product 3, Product 56","Product 49, Product 75",0.01,1.0,100.0
"Product 56, Product 75","Product 3, Product 49",0.01,1.0,100.0
"Product 3, Product 49","Product 56, Product 75",0.01,1.0,100.0
"Product 49, Product 75","Product 3, Product 56",0.01,1.0,100.0
"Product 43, Product 51","Product 71, Product 78, Product 89",0.01,1.0,100.0
"Product 51, Product 71","Product 43, Product 78, Product 89",0.01,1.0,100.0
"Product 51, Product 78","Product 43, Product 71, Product 89",0.01,1.0,100.0
"Product 43, Product 71","Product 51, Product 78, Product 89",0.01,1.0,100.0
"Product 43, Product 78","Product 51, Product 71, Product 89",0.01,1.0,100.0
"Product 71, Product 78","Product 43, Product 51, Product 89",0.01,1.0,100.0
"Product 43, Product 51, Product 89","Product 71, Product 78",0.01,1.0,100.0
"Product 51, Product 71, Product 89","Product 43, Product 78",0.01,1.0,100.0
"Product 51, Product 78, Product 89","Product 43, Product 71",0.01,1.0,100.0
"Product 43, Product 71, Product 89","Product 51, Product 78",0.01,1.0,100.0
"Product 43, Product 78, Product 89","Product 51, Product 71",0.01,1.0,100.0
"Product 37, Product 96","Product 35, Product 64, Product 7",0.01,1.0,100.0
"Product 35, Product 96","Product 37, Product 64, Product 7",0.01,1.0,100.0
"Product 100, Product 60","Product 13, Product 4",0.01,1.0,100.0
"Product 15, Product 34, Product 57","Product 48, Product 93",0.01,1.0,100.0
"Product 48, Product 57, Product 93","Product 15, Product 34",0.01,1.0,100.0
